Brand,Product Name,URL,Release Date,Original Review Date,Category,Audience Rating,RR Verdict,Toebox,Pace,Strike Pattern,Material,Terrain,Type,Pros,Cons,Heel stack (mm),Forefoot stack (mm),Drop (mm),Midsole softness (HA),Midsole softness in cold (HA),Midsole softness in cold (%),Insole thickness (mm),Size,Toebox height (mm),Torsional rigidity,Heel counter stiffness,Midsole width - forefoot (mm),Midsole width - heel (mm),Stiffness in cold (N),Stiffness in cold (%),Weight (oz),Weight (g),Breathability,Toebox durability,Heel padding durability,Outsole hardness (HC),Outsole durability (mm),Outsole thickness (mm),Price,Reflective elements,Tongue padding (mm),Tongue: gusset type,Heel tab,Removable insole,Toebox feel,Midfoot feel,Heel feel,Lug depth (mm),Secondary foam softness (HA),Leather/Suede quality,Toe guard durability,Flexibility / Stiffness (average) (N),Toebox width - widest part (average) (mm),Toebox width - big toe (average) (mm)
Nike,Pegasus 41,https://runrepeat.com/nike-pegasus-41,Jun 2024,"Jun 20, 2024",Running,88.0,"Our verdict: Nike's updates can be unpredictable, but we can confidently say that the Pegasus 41 is a standout. We were particularly impressed by its features for heel strikers, enhanced by the new plush foam and rockered sole. The shoe maintains its renowned durability too. And despite the $10 price increase, we believe it's justified and well worth it. At the end of the day, although it's been quite some time since 1982—I wasn't even born then!—the Pegasus series is still kicking, and for good reason.",,Daily running,Heel strike,"Mesh  |, Mesh, |, Reflective, Reflective",Road,"Breathable  |, |, Comfortable","Enhanced for heel strikers, New ReactX foam!, Improved breathability, Plush upper, Good durability, Several stability enhancements, Newly designed rocker and bevel, Solid performance, Superior lockdown, Sustainable features","Not ideal for forefoot strikers, Price increased by $10, Worse than the v40 in cold temperatures",33.6,22.2,11.4,15.8,21.6,37.0,5.1,True to size,26.4,2.0,4.0,115.6,89.2,26.9,40.0,9.91,281.0,4.0,3.0,4.0,89.0,0.9,3.0,$140,Yes,6.6,Both sides (full),,Yes,,,,,,,,14.3,98.0,75.1
Brooks,Adrenaline Gts 23,https://runrepeat.com/brooks-adrenaline-gts-23,,"Aug 8, 2023",Running,89.0,"Our verdict: The Brooks Adrenaline GTS 23 builds on the winning recipe that made its predecessors favored among runners all around the world. We found that it shines as a reliable, well-cushioned, and stable daily trainer that's perfect for easy to moderate runs. Even with a slight shortfall in forefoot cushioning, we think that its value at $140 marks it as a standout choice and a welcome enhancement over prior models.",,Daily running,Heel strike,"Mesh, Vegan  |, Mesh, ,, |, Reflective, Reflective",Road,"Breathable  |, |, Comfortable","Excellent stability without being intrusive, Ideal for easy miles, Specifically designed for heel strikers, Outstanding breathability, Comfortable and cushioned, Availability in narrow and wide sizes, Capable of handling tempo paces, Not expensive at all","The engineered mesh upper lacks durability, Lacks cushion for forefoot strikers",34.1,21.5,12.6,19.5,27.6,42.0,4.5,True to size,,4.0,4.0,117.3,96.9,22.5,27.0,10.09,286.0,5.0,1.0,5.0,80.5,0.7,3.6,$140,Yes,11.7,Both sides (semi),,Yes,,,,,,,,14.05,99.9,78.7
Hoka,Clifton 9,https://runrepeat.com/hoka-clifton-9,"Feb 15, 2023","Oct 24, 2023",Running,86.0,"Our verdict: While you’d be forgiven to think that Clifton’s popularity is just the result of TikTok hype, we argue that there’s a deep-rooted heritage behind this reliable daily workhorse. This updated ninth edition is a masterclass in how not to mess with success, and we think it's the right approach. It’s now snappy, better fitting, and more fun—it's just a better shoe overall. Underneath, however, is still that unmistakably Clifton feel that we know and love.",,Daily running,Forefoot/Midfoot strike,"Knit, Vegan, ,",Road,"Comfortable  |, |, For heavy runners  |, |, For big guys  |, |, Lightweight","Thicker and more energetic midsole cushioning, Lighter than the v8, Easy on the knees, Durable upper, Available in wide, Good traction on roads and mild trails, Mild, unobtrusive stability elements, Can handle faster paces better than previous editions, Best for easy days and long runs","Snug fit, Upper needs some time to break in, Average breathability",32.7,26.6,6.1,20.4,24.0,18.0,4.2,True to size,28.9,4.0,5.0,115.3,96.0,48.9,82.0,8.78,249.0,3.0,,,76.0,,3.7,$145,No,6.6,Both sides (semi),,Yes,Medium,Normal,Normal,,,,,22.299999999999997,94.0,71.7
New Balance,Fresh Foam X 1080 V 13,https://runrepeat.com/new-balance-fresh-foam-x-1080-v-13,,"Jan 23, 2024",Running,89.0,"Our verdict: In our lab tests, the New Balance Fresh Foam X 1080 v13 emerged as the top contender for those who prioritize supreme softness in a daily trainer. It's not only the most cushioned 1080 yet, but also one of the plushiest running shoes we've ever experienced. The top-notch upper and impressive durability also set a high bar that rivals will struggle to reach. However, we found the Fresh Foam X midsole falls short in energy return, a letdown for those seeking more bounce. Yet, at $165, we believe it's reasonably priced given its blend of distinctive attributes and performance.",,Daily running,Forefoot/Midfoot strike,"Knit  |, |, Reflective, Reflective",Road,"Breathable  |, |, Comfortable","Exceptional comfort, Outstanding breathability, Incredibly soft ride, Long-lasting outsole, Lightweight for its size, High-quality materials throughout the shoe, Ideal for medium or long runs at a relaxed pace, Suitable for a wide range of foot shapes","The EVA-based midsole falls short in energy return, Lacks stability, Not suitable for quick-paced running",34.1,28.5,5.6,10.0,12.9,29.0,5.0,True to size,,2.0,4.0,119.5,95.9,23.6,15.0,9.31,264.0,5.0,3.0,4.0,81.5,0.2,2.5,$165,Yes,7.3,Both sides (semi),,Yes,,,,,,,,16.8,99.7,77.9
Asics,Novablast 4,https://runrepeat.com/asics-novablast-4,,"Dec 25, 2023",Running,92.0,"Our verdict: This is the eagerly awaited sequel to one of 2023's best-selling, top-rated neutral daily trainers. That's why we were expecting just a minor upgrade, but ASICS surprised us with significant changes. The Novablast 4 introduces a premium upper paired with extra cushioning, enhanced stability, and better grip. In our view, ASICS aimed to address the weaker points of v3 and largely succeeded, although the shoe did gain some weight and lose a bit of its original magic in the process. Despite this, it's a fantastic all-rounder we think it's poised to be one of the top running shoes for a second consecutive year.",,Daily running,Heel strike,"Mesh  |, Mesh, |, Reflective, Reflective",Road,"Comfortable  |, |, Maximalist","Enhanced outsole offering better grip and durability, Improved upper comfort with premium materials, Upgraded tongue padding, Exceptional value at just $140, More cushion than ever before, Accommodates a wide range of foot sizes, The most stable Novablast yet, Retains most of its fun and energetic ride","Not the best for hot summer runs, Outsole still lacks grip in wet conditions, Minor weight increase compared to v3",39.2,30.2,9.0,16.9,22.3,32.0,4.4,True to size,,4.0,3.0,122.8,94.7,27.0,6.0,9.14,259.0,3.0,3.0,5.0,79.1,0.6,3.9,$140,Yes,5.8,Both sides (semi),Finger loop,Yes,,,,,,,,21.700000000000003,98.3,77.0
Hoka,Bondi 8,https://runrepeat.com/hoka-bondi-8,"Jul 15, 2022","Oct 24, 2023",Running,84.0,"Our verdict: The 8th iteration of the Hoka Bondi remains our beloved plush and cushy daily trainer that excels on easy days and recovery sessions. With its humongous foam, our feet found themselves in a very comfy position all throughout the run! On top of this, the shoe kept us surefooted thanks to its highly stable ride.",,Daily running,Forefoot/Midfoot strike,"Mesh, Mesh",Road,Maximalist,"Oozing with comfort, Gliding ride, A touch springy, Feels stable, Breathable, Upper is soft as hell, Highly durable","Tight midfoot, Narrow toebox, It's still heavy",36.2,30.0,6.2,18.0,26.9,49.0,4.9,True to size,28.5,4.0,3.0,126.5,100.9,70.2,42.0,10.97,311.0,3.0,,,74.0,,3.0,$165,No,9.0,Both sides (semi),Finger loop,Yes,,,,,,,,33.5,91.9,69.2
Asics,Gel Nimbus 26,https://runrepeat.com/asics-gel-nimbus-26,,"Feb 16, 2024",Running,89.0,"Our verdict: The ASICS Nimbus 26 is a testament to the Japanese kaizen philosophy, building on the solid foundation of its predecessor to enhance almost every aspect that needed improvement. In our lab tests, we were delighted to find a more breathable upper and an expanded toebox, ensuring comfort during our runs. The shoe also maintains its signature plush cushioning and premium feel throughout. However, we still noted its heft and the slim tongue—areas we hope will see enhancements in future iterations.",,Daily running,Heel strike,"Knit  |, |, Reflective, Reflective",Road,"Breathable  |, |, Comfortable  |, |, Maximalist","Premium all-around comfort, Enhanced toebox design, Exceptional durability, Best-in-series outsole, Ideal for long distances, Superb knit upper, Surprisingly stable, A dream for heel strikers","Increased weight, Limited energy return, Tongue lacks padding",40.4,32.0,8.4,18.5,23.5,27.0,5.0,True to size,24.5,5.0,3.0,118.4,101.7,33.4,10.0,10.69,303.0,4.0,4.0,4.0,83.5,0.6,2.3,$160,Yes,4.1,Both sides (semi),Finger loop,Yes,,,,,,,,22.5,98.65,76.65
Saucony,Ride 17,https://runrepeat.com/saucony-ride-17,,"Feb 18, 2024",Running,89.0,"Our verdict: The Saucony Ride 17 is more than just a minor update—it's a significant overhaul, especially with the all-new midsole that enhances energy return and responsiveness. In our lab tests, we were impressed by its superb durability, remarkable stability and the spacious upper, perfectly accommodating wide feet for a superbly comfortable fit. Despite its strengths, the Ride 17 has some limitations. It remains somewhat heavy for its stack height, and, in our lab tests, the new mesh upper fell really short of our expectations for breathability.",,Daily running,Heel strike,"Mesh  |, Mesh, |, Reflective, Reflective",Road,"Comfortable  |, |, Maximalist","Incredible value, Most cushioned Ride yet, High-volume upper, Enhanced stability, Upgraded PWRRUN+ midsole, Best-in-class durability, Superior lockdown","Tapered toebox, Subpar breathability, Could be lighter",35.1,26.6,8.5,19.0,22.9,20.0,6.7,True to size,29.1,3.0,3.0,125.1,93.8,30.3,3.0,10.16,288.0,2.0,3.0,4.0,86.0,0.3,3.4,$140,Yes,9.0,Both sides (semi),Finger loop,Yes,,,,,,,,29.4,99.15,74.0
Nike,Zoom X Invincible Run Flyknit 3,https://runrepeat.com/nike-zoom-x-invincible-run-flyknit-3,"Feb 02, 2023","Feb 16, 2023",Running,81.0,"Our verdict: The Invincible Run is a shoe that barely needs an introduction. It’s among the most (if not the most) comfortable max-cushioned trainers that we put on our feet, alongside the More and the Bondi. In this third iteration, the shoe moved away from the unadulterated wildness of the v2 in favor of practicality and versatility. The outcome? We experienced a ride that was less soft and bouncy but more stable and controlled. It’s the Invincible for runners who couldn’t handle the Invincible.",,Daily running,Heel strike,"Knit  |, |, Reflective, Reflective",Road,"Breathable  |, |, Comfortable  |, |, Maximalist","Way more stable than previous versions, Tall stack of impact-absorbing cushioning, Good energy return, Comfort for the entire foot, Thicker, more durable outsole, A solid ride that works for more runners, Breathable, Great for recovery days and long easy runs","Poor grip on wet roads, Heel slippage, Heel clip can be irritating when cornering",35.2,25.6,9.6,14.5,16.0,10.0,2.9,True to size,,4.0,3.0,121.8,102.1,45.2,42.0,10.02,284.0,4.0,,,74.4,,4.0,$180,Yes,7.4,,Finger loop,Yes,,,,,,,,22.05,97.7,
Asics,Novablast 5,https://runrepeat.com/asics-novablast-5,,"Dec 10, 2024",Running,93.0,"Our verdict: The Novablast 5 takes ASICS’ best-seller to new heights—literally and figuratively. We found it lighter, softer, and bouncier, with improved flexibility and a more responsive feel underfoot. The price remains unchanged, offering excellent value with significant updates. While traction remains its weakest aspect, the ride is undeniably fun and surprisingly stable, making it a perfect choice for runners craving a blend of plush cushioning, versatility, and comfort.",,"Daily running, Tempo",Heel strike,"Mesh  |, Mesh, |, Reflective, Reflective",Road,"Comfortable  |, |, For heavy runners  |, |, For big guys  |, |, Maximalist","Improved energy return with all-new foam, Plushiest foam in a Novablast yet, Keeps the same price as v4, Higher stack height for extra cushioning, Enhanced flexibility, Lighter than its predecessor, Best Novablast ever for wide feet, Exceptional weight-to-cushion balance, Works for short, medium and long runs","Lacks grip on wet surfaces, Breathability could be improved, Toebox durability",40.9,33.5,7.4,13.0,18.5,42.0,4.4,True to size,27.2,4.0,3.0,122.3,97.6,21.9,15.0,8.96,254.0,3.0,1.0,3.0,78.0,0.9,3.3,$140,Yes,5.0,Both sides (semi),Finger loop,Yes,,,,,,,,15.15,98.2,76.95
